date,description,amount,type
2024-01-01,Salary Credit,50000,income
2024-01-05,Grocery Shopping,-5000,expense
2024-01-10,ATM Withdrawal,-2000,expense
2024-01-15,Online Payment,-3000,expense
2024-01-20,Interest Credit,500,income
2024-01-25,Utility Bill,-2000,expense
2024-02-01,Salary Credit,50000,income
2024-02-05,Grocery Shopping,-5000,expense
2024-02-10,ATM Withdrawal,-2000,expense
2024-02-15,Online Payment,-3000,expense
2024-02-20,Interest Credit,500,income
2024-02-25,Utility Bill,-2000,expense
2024-03-01,Salary Credit,50000,income
2024-03-05,Grocery Shopping,-5000,expense
2024-03-10,ATM Withdrawal,-2000,expense
2024-03-15,Online Payment,-3000,expense
2024-03-20,Interest Credit,500,income
2024-03-25,Utility Bill,-2000,expense

